Features,Shapley_importance
PREV_NAME_YIELD_GROUP_XNA_MEAN,0.0
YEARS_BEGINEXPLUATATION_AVG,0.0008533823698339808
AMT_REQ_CREDIT_BUREAU_QRT,0.0005493632052465572
POS_MONTHS_BALANCE_SIZE,0.011598057008660404
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.009709269424109912
CC_CNT_DRAWINGS_CURRENT_VAR,0.01976106958713967
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.059811080989072764
AMT_ANNUITY,0.00033197845094116497
PREV_PRODUCT_COMBINATION_Cash_Street__middle_MEAN,0.018167959901011818
DAYS_ID_PUBLISH,0.027846416860629157
APPROVED_APP_CREDIT_PERC_MEAN,0.09235521281751252
REFUSED_AMT_ANNUITY_MAX,0.0
BURO_CREDIT_TYPE_Car_loan_MEAN,0.049546328240015224
BURO_STATUS_0_MEAN_MEAN,0.00015879109490378183
BURO_DAYS_CREDIT_MAX,0.0005528708606140474
BURO_AMT_ANNUITY_MEAN,0.00854159406713106
PREV_AMT_GOODS_PRICE_MEAN,0.01519302553133602
INSTAL_DPD_SUM,0.039971041050286336
CC_CNT_DRAWINGS_CURRENT_MEAN,0.0005207048677235732
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.0034157245059813672
LIVINGAPARTMENTS_AVG,0.001220742834138787
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.020335127362808448
PREV_CNT_PAYMENT_MEAN,0.026830122286882627
CLOSED_AMT_CREDIT_SUM_SUM,0.0021915080882227824
APPROVED_AMT_ANNUITY_MAX,0.0019519342597491287
DEF_60_CNT_SOCIAL_CIRCLE,0.06585783831889366
INSTAL_DAYS_ENTRY_PAYMENT_MAX,0.013599060121848788
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0.0012032024471699298
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0.010661061639212209
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.03793758815241726
AMT_REQ_CREDIT_BUREAU_YEAR,0.0014956533106911254
BURO_DAYS_CREDIT_MEAN,0.007334643960406288
PREV_RATE_DOWN_PAYMENT_MAX,0.027506695315451857
ORGANIZATION_TYPE,0.0052556188752382
REFUSED_HOUR_APPR_PROCESS_START_MEAN,0.018425753634706415
ACTIVE_AMT_CREDIT_SUM_MEAN,0.0006919964453303873
PREV_NAME_YIELD_GROUP_low_action_MEAN,0.00010121628008395027
ACTIVE_AMT_CREDIT_SUM_SUM,0.010998893826608768
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,0.029434849743271457
BURO_CREDIT_TYPE_Microloan_MEAN,0.030905508571658708
OBS_30_CNT_SOCIAL_CIRCLE,0.0
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.00876031118504867
APPROVED_DAYS_DECISION_MAX,0.0007332674479752906
